ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u32, SumSQ.u32, Count.u64, Min.u32, Max.u32, Sum.u64, SumSQ.u64, Min.u64, Max.u64
polarfly_network.rtr6:topology, hopcount4, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr6, send_bit_count, port0, Accumulator, 13420108, 0, 0, 0, 2, 0, 0, 784, 309376, 360, 424
polarfly_network.rtr6, send_packet_count, port0, Accumulator, 13420108, 0, 0, 0, 2, 0, 0, 2, 2, 1, 1
polarfly_network.rtr6, output_port_stalls, port0, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr6, idle_time, port0, Accumulator, 13420108, 0, 0, 0, 3, 0, 0, 13394108, 73938773290494, 1447765, 6465713
polarfly_network.rtr6, width_adj_count, port0, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr6, send_bit_count, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr6, send_packet_count, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr6, output_port_stalls, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr6, idle_time, port1, Accumulator, 13420108, 0, 0, 0, 1, 0, 0, 13420108, 180099298731664, 13420108, 13420108
polarfly_network.rtr6, width_adj_count, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr6, send_bit_count, port2, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 1568, 618752, 360, 424
