==================================================
 Topology          : 3D Torus 4x4x4 - MiniMD
 Routers           : 64
 Nodes per router  : 2  (local_ports)
 Total nodes       : 128
 Total MPI ranks   : 128
 PPN (ranks/node)  : 2   <-- should be 2
 Stats CSV         : /Users/stephenrajva/Downloads/HPC-Upload 2/SST_Stimulator/MiniMD/Torus/PPN_2/results/minimd_torus_4x4x4_ppn2_nodes128_stats.csv
==================================================
318235308255:0:32:EmberEngine:AllPingPong:generate:59: rank=32 size=128
318235308255:0:34:EmberEngine:AllPingPong:generate:59: rank=34 size=128
318235308255:0:36:EmberEngine:AllPingPong:generate:59: rank=36 size=128
318235308255:0:38:EmberEngine:AllPingPong:generate:59: rank=38 size=128
318235308255:0:40:EmberEngine:AllPingPong:generate:59: rank=40 size=128
318235308255:0:42:EmberEngine:AllPingPong:generate:59: rank=42 size=128
318235308255:0:44:EmberEngine:AllPingPong:generate:59: rank=44 size=128
318235308255:0:46:EmberEngine:AllPingPong:generate:59: rank=46 size=128
318235308255:0:48:EmberEngine:AllPingPong:generate:59: rank=48 size=128
318235308255:0:50:EmberEngine:AllPingPong:generate:59: rank=50 size=128
318235308255:0:52:EmberEngine:AllPingPong:generate:59: rank=52 size=128
318235308255:0:54:EmberEngine:AllPingPong:generate:59: rank=54 size=128
318235308255:0:56:EmberEngine:AllPingPong:generate:59: rank=56 size=128
318235308255:0:58:EmberEngine:AllPingPong:generate:59: rank=58 size=128
318235308255:0:60:EmberEngine:AllPingPong:generate:59: rank=60 size=128
318235308255:0:62:EmberEngine:AllPingPong:generate:59: rank=62 size=128
318235892163:0:33:EmberEngine:AllPingPong:generate:59: rank=33 size=128
318235892163:0:35:EmberEngine:AllPingPong:generate:59: rank=35 size=128
318235892163:0:37:EmberEngine:AllPingPong:generate:59: rank=37 size=128
318235892163:0:39:EmberEngine:AllPingPong:generate:59: rank=39 size=128
318235892163:0:41:EmberEngine:AllPingPong:generate:59: rank=41 size=128
318235892163:0:43:EmberEngine:AllPingPong:generate:59: rank=43 size=128
318235892163:0:45:EmberEngine:AllPingPong:generate:59: rank=45 size=128
318235892163:0:47:EmberEngine:AllPingPong:generate:59: rank=47 size=128
318235892163:0:49:EmberEngine:AllPingPong:generate:59: rank=49 size=128
